scrape_timestamp,source_platform,origin,destination,sector,departure_date,lead_time_days,carrier,departure_slot,base_fare,taxes_and_fees,total_fare
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-09-25,1,IndiGo,Evening,6720.0,1256.4,7976.4
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-09-25,1,Air India,Evening,6720.0,1256.4,7976.4
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-09-25,1,Akasa Air,Evening,6720.0,1256.4,7976.4
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-01,7,IndiGo,Evening,5250.0,1080.0,6330.0
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-01,7,Air India,Evening,5250.0,1080.0,6330.0
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-01,7,Akasa Air,Evening,5250.0,1080.0,6330.0
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-09,15,IndiGo,Evening,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-09,15,Air India,Evening,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-09,15,Akasa Air,Evening,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-24,30,IndiGo,Morning,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-24,30,Air India,Morning,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-10-24,30,Akasa Air,Morning,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-11-08,45,IndiGo,Evening,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-11-08,45,Air India,Evening,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BOM,DEL-BOM,2026-11-08,45,Akasa Air,Evening,3990.0,928.8,4918.8
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-09-25,1,IndiGo,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-09-25,1,Air India,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-09-25,1,Akasa Air,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-01,7,IndiGo,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-01,7,Air India,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-01,7,Akasa Air,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-09,15,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-09,15,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-09,15,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-24,30,IndiGo,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-24,30,Air India,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-10-24,30,Akasa Air,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-11-08,45,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-11-08,45,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,BLR,DEL-BLR,2026-11-08,45,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-09-25,1,IndiGo,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-09-25,1,Air India,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-09-25,1,Akasa Air,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-01,7,IndiGo,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-01,7,Air India,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-01,7,Akasa Air,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-09,15,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-09,15,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-09,15,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-24,30,IndiGo,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-24,30,Air India,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-10-24,30,Akasa Air,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-11-08,45,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-11-08,45,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,BOM,BLR,BOM-BLR,2026-11-08,45,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-09-25,1,IndiGo,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-09-25,1,Air India,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-09-25,1,Akasa Air,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-01,7,IndiGo,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-01,7,Air India,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-01,7,Akasa Air,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-09,15,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-09,15,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-09,15,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-24,30,IndiGo,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-24,30,Air India,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-10-24,30,Akasa Air,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-11-08,45,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-11-08,45,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,HYD,DEL-HYD,2026-11-08,45,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-09-25,1,IndiGo,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-09-25,1,Air India,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-09-25,1,Akasa Air,Evening,7680.0,1371.6,9051.6
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-01,7,IndiGo,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-01,7,Air India,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-01,7,Akasa Air,Evening,6000.0,1170.0,7170.0
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-09,15,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-09,15,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-09,15,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-24,30,IndiGo,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-24,30,Air India,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-10-24,30,Akasa Air,Morning,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-11-08,45,IndiGo,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-11-08,45,Air India,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,EaseMyTrip,DEL,CCU,DEL-CCU,2026-11-08,45,Akasa Air,Evening,4560.0,997.2,5557.2
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-09-25,1,IndiGo,Evening,6854.4,1272.53,8126.929999999999
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-09-25,1,Air India,Evening,6854.4,1272.53,8126.929999999999
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-09-25,1,Akasa Air,Evening,6854.4,1272.53,8126.929999999999
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-10-01,7,IndiGo,Evening,5355.0,1092.6,6447.6
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-10-01,7,Air India,Evening,5355.0,1092.6,6447.6
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-10-01,7,Akasa Air,Evening,5355.0,1092.6,6447.6
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-10-09,15,IndiGo,Evening,4069.8,938.38,5008.18
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-10-09,15,Air India,Evening,4069.8,938.38,5008.18
2026-09-24 20:13:00,ixigo,DEL,BOM,DEL-BOM,2026-10-09,15,Akasa Air,Evening,4069.8,938.38,5008.18
