scrape_timestamp,source_platform,origin,destination,sector,departure_date,carrier,raw_price_text,parsed_fare_inr,status,notes
2026-09-25 00:19:35,ixigo,DEL,BOM,DEL-BOM,2026-10-15,priceLock,"₹6,442",6442.0,ok,
2026-09-25 00:19:35,ixigo,DEL,BOM,DEL-BOM,2026-10-15,priceLock,"₹6,529",6529.0,ok,
2026-09-25 00:19:35,ixigo,DEL,BOM,DEL-BOM,2026-10-15,priceLock,"₹6,530",6530.0,ok,
2026-09-25 00:28:56,ixigo,DEL,BOM,DEL-BOM,2026-09-26,priceLock,"₹6,442",6442.0,ok,,1
2026-09-25 00:28:56,ixigo,DEL,BOM,DEL-BOM,2026-09-26,priceLock,"₹6,529",6529.0,ok,,1
2026-09-25 00:28:56,ixigo,DEL,BOM,DEL-BOM,2026-09-26,priceLock,"₹6,530",6530.0,ok,,1
2026-09-25 00:29:08,ixigo,DEL,BOM,DEL-BOM,2026-10-02,priceLock,"₹6,442",6442.0,ok,,7
2026-09-25 00:29:08,ixigo,DEL,BOM,DEL-BOM,2026-10-02,priceLock,"₹6,529",6529.0,ok,,7
2026-09-25 00:29:08,ixigo,DEL,BOM,DEL-BOM,2026-10-02,priceLock,"₹6,530",6530.0,ok,,7
2026-09-25 00:29:20,ixigo,DEL,BOM,DEL-BOM,2026-10-10,priceLock,"₹6,442",6442.0,ok,,15
2026-09-25 00:29:20,ixigo,DEL,BOM,DEL-BOM,2026-10-10,priceLock,"₹6,529",6529.0,ok,,15
2026-09-25 00:29:20,ixigo,DEL,BOM,DEL-BOM,2026-10-10,priceLock,"₹6,530",6530.0,ok,,15
2026-09-25 00:29:32,ixigo,DEL,BOM,DEL-BOM,2026-10-25,priceLock,"₹6,442",6442.0,ok,,30
2026-09-25 00:29:32,ixigo,DEL,BOM,DEL-BOM,2026-10-25,priceLock,"₹6,529",6529.0,ok,,30
2026-09-25 00:29:32,ixigo,DEL,BOM,DEL-BOM,2026-10-25,priceLock,"₹6,530",6530.0,ok,,30
2026-09-25 00:29:44,ixigo,DEL,BOM,DEL-BOM,2026-11-09,priceLock,"₹6,442",6442.0,ok,,45
2026-09-25 00:29:44,ixigo,DEL,BOM,DEL-BOM,2026-11-09,priceLock,"₹6,529",6529.0,ok,,45
2026-09-25 00:29:44,ixigo,DEL,BOM,DEL-BOM,2026-11-09,priceLock,"₹6,530",6530.0,ok,,45
2026-09-25 00:29:56,ixigo,DEL,BLR,DEL-BLR,2026-09-26,priceLock,"₹8,829",8829.0,ok,,1
2026-09-25 00:29:56,ixigo,DEL,BLR,DEL-BLR,2026-09-26,priceLock,"₹8,829",8829.0,ok,,1
2026-09-25 00:29:56,ixigo,DEL,BLR,DEL-BLR,2026-09-26,priceLock,"₹8,829",8829.0,ok,,1
2026-09-25 00:30:10,ixigo,DEL,BLR,DEL-BLR,2026-10-02,priceLock,"₹8,829",8829.0,ok,,7
2026-09-25 00:30:10,ixigo,DEL,BLR,DEL-BLR,2026-10-02,priceLock,"₹8,829",8829.0,ok,,7
2026-09-25 00:30:10,ixigo,DEL,BLR,DEL-BLR,2026-10-02,priceLock,"₹8,829",8829.0,ok,,7
2026-09-25 00:30:21,ixigo,DEL,BLR,DEL-BLR,2026-10-10,priceLock,"₹8,829",8829.0,ok,,15
2026-09-25 00:30:21,ixigo,DEL,BLR,DEL-BLR,2026-10-10,priceLock,"₹8,829",8829.0,ok,,15
2026-09-25 00:30:21,ixigo,DEL,BLR,DEL-BLR,2026-10-10,priceLock,"₹8,829",8829.0,ok,,15
2026-09-25 00:30:32,ixigo,DEL,BLR,DEL-BLR,2026-10-25,priceLock,"₹8,829",8829.0,ok,,30
2026-09-25 00:30:32,ixigo,DEL,BLR,DEL-BLR,2026-10-25,priceLock,"₹8,829",8829.0,ok,,30
2026-09-25 00:30:32,ixigo,DEL,BLR,DEL-BLR,2026-10-25,priceLock,"₹8,829",8829.0,ok,,30
2026-09-25 00:30:44,ixigo,DEL,BLR,DEL-BLR,2026-11-09,priceLock,"₹8,829",8829.0,ok,,45
2026-09-25 00:30:44,ixigo,DEL,BLR,DEL-BLR,2026-11-09,priceLock,"₹8,829",8829.0,ok,,45
2026-09-25 00:30:44,ixigo,DEL,BLR,DEL-BLR,2026-11-09,priceLock,"₹8,829",8829.0,ok,,45
2026-09-25 00:30:55,ixigo,BOM,BLR,BOM-BLR,2026-09-26,priceLock,"₹5,430",5430.0,ok,,1
2026-09-25 00:30:55,ixigo,BOM,BLR,BOM-BLR,2026-09-26,priceLock,"₹5,456",5456.0,ok,,1
2026-09-25 00:30:55,ixigo,BOM,BLR,BOM-BLR,2026-09-26,priceLock,"₹5,456",5456.0,ok,,1
2026-09-25 00:31:07,ixigo,BOM,BLR,BOM-BLR,2026-10-02,priceLock,"₹5,430",5430.0,ok,,7
2026-09-25 00:31:07,ixigo,BOM,BLR,BOM-BLR,2026-10-02,priceLock,"₹5,456",5456.0,ok,,7
2026-09-25 00:31:07,ixigo,BOM,BLR,BOM-BLR,2026-10-02,priceLock,"₹5,456",5456.0,ok,,7
2026-09-25 00:31:18,ixigo,BOM,BLR,BOM-BLR,2026-10-10,priceLock,"₹5,430",5430.0,ok,,15
2026-09-25 00:31:18,ixigo,BOM,BLR,BOM-BLR,2026-10-10,priceLock,"₹5,456",5456.0,ok,,15
2026-09-25 00:31:18,ixigo,BOM,BLR,BOM-BLR,2026-10-10,priceLock,"₹5,456",5456.0,ok,,15
2026-09-25 00:31:30,ixigo,BOM,BLR,BOM-BLR,2026-10-25,priceLock,"₹5,430",5430.0,ok,,30
2026-09-25 00:31:30,ixigo,BOM,BLR,BOM-BLR,2026-10-25,priceLock,"₹5,456",5456.0,ok,,30
2026-09-25 00:31:30,ixigo,BOM,BLR,BOM-BLR,2026-10-25,priceLock,"₹5,456",5456.0,ok,,30
2026-09-25 00:31:41,ixigo,BOM,BLR,BOM-BLR,2026-11-09,priceLock,"₹5,430",5430.0,ok,,45
2026-09-25 00:31:41,ixigo,BOM,BLR,BOM-BLR,2026-11-09,priceLock,"₹5,456",5456.0,ok,,45
