sector,city1,city2,total_passengers,weight
DELHI-MUMBAI,DELHI,MUMBAI,6534846,0.1518292463197501
DELHI-BANGALORE,DELHI,BANGALORE,7888805,0.18328684677702825
MUMBAI-BANGALORE,MUMBAI,BANGALORE,3934223,0.09140691501281378
DELHI-KOLKATA,DELHI,KOLKATA,4723474,0.10974420781008996
BANGALORE-HYDERABAD,BANGALORE,HYDERABAD,3783543,0.08790604738173878
CHENNAI-DELHI,CHENNAI,DELHI,3751324,0.08715747786882662
MUMBAI-GOA,MUMBAI,GOA,846599,0.01966970424476018
DELHI-AHMEDABAD,DELHI,AHMEDABAD,3970335,0.0922459336741715
DELHI-HYDERABAD,DELHI,HYDERABAD,5182803,0.12041616180606853
DELHI-PATNA,DELHI,PATNA,2424807,0.05633745910475231
