base_year,month_code,series,year,month,state,sector,division,group,class,sub_class,item,code,weight,index,inflation,imputation,value
2024,8,Current,2026,August,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,127.20,15.47,N,127.2
2024,7,Current,2026,July,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,119.60,18.12,N,119.6
2024,6,Current,2026,June,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,120.55,12.12,N,120.55
2024,5,Current,2026,May,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,122.61,13.01,N,122.61
2024,4,Current,2026,April,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,117.01,9.55,N,117.01
2024,3,Current,2026,March,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,115.52,9.48,N,115.52
2024,2,Current,2026,February,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,116.99,-8.82,N,116.99
2024,1,Current,2026,January,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,114.80,3.13,N,114.8
2024,12,Current,2025,December,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,117.73,,N,117.73
2024,11,Current,2025,November,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,111.39,,N,111.39
2024,10,Current,2025,October,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,110.62,,N,110.62
2024,9,Current,2025,September,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,102.46,,N,102.46
2024,8,Current,2025,August,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,110.16,,N,110.16
2024,7,Current,2025,July,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,101.25,,N,101.25
2024,6,Current,2025,June,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,107.52,,N,107.52
2024,5,Current,2025,May,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,108.50,,N,108.5
2024,4,Current,2025,April,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,106.81,,N,106.81
2024,3,Current,2025,March,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,105.51,,N,105.51
2024,2,Current,2025,February,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,128.31,,N,128.31
2024,1,Current,2025,January,All India,Urban,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01784347024856,111.31,,N,111.31
